               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089893,            0.059705,            0.037512,             0.48479,             0.42441,             0.38038,             0.19117,            0.067875,            0.027611,            0.022845,              0.0706,           0.0032667,           0.0032667
                   1,            0.072054,            0.047686,            0.016922,             0.41743,             0.70272,             0.54543,             0.27537,            0.068724,            0.018515,           0.0077774,            0.040535,           0.0065347,           0.0065347
                   2,            0.071453,            0.041953,            0.010055,             0.48154,             0.79234,             0.62789,             0.28297,            0.059988,            0.017342,           0.0064407,            0.010403,           0.0097367,           0.0097367
                   3,            0.063011,            0.040538,             0.00786,              0.7385,             0.82768,             0.87136,             0.47613,            0.049681,            0.015272,           0.0055725,            0.009703,            0.009703,            0.009703
                   4,            0.054396,            0.040056,           0.0060236,             0.65598,             0.77472,             0.72061,             0.43496,            0.045383,            0.015831,           0.0052551,            0.009703,            0.009703,            0.009703
                   5,            0.048836,            0.037061,           0.0053467,             0.68816,             0.86515,             0.84009,             0.53702,            0.037313,            0.014997,           0.0048904,            0.009604,            0.009604,            0.009604
                   6,            0.046587,            0.039922,           0.0047053,             0.80107,             0.92106,             0.87055,             0.58706,            0.039266,            0.016123,           0.0033829,            0.009505,            0.009505,            0.009505
                   7,             0.04502,            0.038271,           0.0042116,             0.93665,             0.93719,             0.95739,             0.62765,             0.03353,            0.015072,           0.0027401,            0.009406,            0.009406,            0.009406
                   8,             0.04258,            0.038306,            0.003798,             0.88365,             0.90778,             0.95096,             0.65831,            0.029047,            0.015259,           0.0024452,            0.009307,            0.009307,            0.009307
                   9,            0.040645,              0.0362,           0.0035707,             0.86036,             0.92845,             0.90784,             0.60205,            0.033135,            0.015312,            0.003643,            0.009208,            0.009208,            0.009208
                  10,            0.038799,            0.037127,           0.0033903,             0.92697,             0.91685,             0.93388,             0.66989,            0.029349,            0.015892,           0.0041443,            0.009109,            0.009109,            0.009109
                  11,            0.038265,            0.035824,           0.0033489,             0.90719,             0.92719,              0.9499,             0.62649,            0.032157,            0.015167,           0.0027863,             0.00901,             0.00901,             0.00901
                  12,            0.037294,            0.037396,           0.0032414,             0.88539,             0.90296,             0.94497,             0.66146,            0.030507,            0.016321,           0.0033073,            0.008911,            0.008911,            0.008911
                  13,            0.036979,            0.036355,           0.0033171,             0.90891,             0.92537,             0.91526,             0.63885,            0.029346,              0.0163,           0.0060837,            0.008812,            0.008812,            0.008812
                  14,            0.036053,            0.034828,             0.00292,             0.91162,             0.94101,             0.93854,             0.67519,            0.027892,            0.014841,           0.0054138,            0.008713,            0.008713,            0.008713
                  15,            0.035059,            0.034723,           0.0029793,             0.92524,             0.93679,             0.95471,             0.68603,             0.02852,            0.014627,           0.0037933,            0.008614,            0.008614,            0.008614
                  16,            0.035129,            0.034495,           0.0029515,             0.90457,             0.93748,             0.95119,             0.61219,            0.029544,            0.016188,           0.0038162,            0.008515,            0.008515,            0.008515
                  17,            0.034692,            0.035314,           0.0029539,             0.94657,             0.90727,              0.9213,             0.67134,            0.027905,            0.016129,           0.0039108,            0.008416,            0.008416,            0.008416
                  18,            0.033668,            0.033873,           0.0025882,             0.91502,             0.89444,              0.9372,             0.65276,            0.030881,            0.016066,           0.0043968,            0.008317,            0.008317,            0.008317
                  19,            0.032936,            0.034505,             0.00273,              0.9035,             0.88024,             0.92904,             0.65912,            0.027919,            0.016661,           0.0029129,            0.008218,            0.008218,            0.008218
                  20,            0.032535,            0.033844,           0.0026173,             0.93352,             0.92318,             0.93627,             0.65055,            0.027957,            0.017607,             0.00233,            0.008119,            0.008119,            0.008119
                  21,            0.032835,            0.033797,           0.0026736,             0.94187,             0.90221,             0.93347,             0.67326,            0.027449,            0.016825,           0.0039566,             0.00802,             0.00802,             0.00802
                  22,            0.031212,            0.033826,           0.0026065,             0.90539,             0.90501,              0.9459,             0.63372,            0.027662,            0.016727,           0.0040886,            0.007921,            0.007921,            0.007921
                  23,             0.03197,            0.034316,           0.0026718,             0.90096,             0.89655,             0.92049,             0.66628,            0.026068,            0.017159,           0.0035835,            0.007822,            0.007822,            0.007822
                  24,            0.031376,            0.034705,           0.0025594,             0.95138,             0.88691,             0.95016,             0.70685,              0.0259,            0.016344,            0.003936,            0.007723,            0.007723,            0.007723
                  25,            0.029976,            0.032254,           0.0024033,             0.93663,             0.89691,              0.9297,              0.6793,            0.024956,            0.016062,           0.0032257,            0.007624,            0.007624,            0.007624
                  26,            0.030341,            0.033178,           0.0023453,             0.89836,             0.88204,             0.90425,             0.64512,            0.030013,            0.017174,           0.0027744,            0.007525,            0.007525,            0.007525
                  27,            0.029751,            0.032863,           0.0023297,             0.91264,             0.89487,             0.92459,             0.67815,            0.027985,            0.017012,           0.0036819,            0.007426,            0.007426,            0.007426
                  28,            0.029954,            0.033377,           0.0022249,             0.95117,             0.91419,             0.94466,             0.70973,            0.025465,             0.01582,            0.002829,            0.007327,            0.007327,            0.007327
                  29,            0.029472,             0.03229,           0.0022348,             0.90274,             0.89361,             0.92433,             0.70148,            0.024462,            0.015348,           0.0056221,            0.007228,            0.007228,            0.007228
                  30,            0.028266,            0.031782,            0.002419,             0.92604,             0.94813,             0.94224,             0.66003,            0.026084,            0.016216,           0.0052826,            0.007129,            0.007129,            0.007129
                  31,            0.028865,             0.03207,           0.0022331,             0.94502,             0.91017,             0.95186,              0.6996,            0.023852,            0.015491,           0.0019726,             0.00703,             0.00703,             0.00703
                  32,            0.027686,            0.030452,           0.0021745,             0.94092,             0.92586,             0.95492,             0.69125,            0.023287,            0.015064,           0.0011259,            0.006931,            0.006931,            0.006931
                  33,            0.027868,            0.030964,           0.0020085,               0.954,             0.89691,             0.92596,               0.686,            0.025284,            0.017525,           0.0016645,            0.006832,            0.006832,            0.006832
                  34,            0.026891,             0.03126,           0.0018224,             0.94894,             0.88829,              0.9266,             0.70004,            0.025635,            0.016939,           0.0028084,            0.006733,            0.006733,            0.006733
                  35,            0.027225,            0.031428,           0.0019685,             0.92822,             0.90671,              0.9112,             0.67063,            0.025774,            0.016607,           0.0039932,            0.006634,            0.006634,            0.006634
                  36,            0.026811,            0.031627,           0.0020137,             0.93434,             0.87418,             0.91658,             0.66408,            0.028214,            0.018091,           0.0031433,            0.006535,            0.006535,            0.006535
                  37,             0.02673,            0.031019,           0.0018807,             0.90227,             0.87221,             0.92822,             0.68202,             0.02649,            0.016525,            0.003717,            0.006436,            0.006436,            0.006436
                  38,            0.026941,            0.031384,           0.0017591,             0.91961,             0.89477,             0.91492,             0.68303,            0.026325,            0.016899,           0.0043968,            0.006337,            0.006337,            0.006337
                  39,            0.026582,            0.030944,           0.0019266,              0.9091,             0.85744,              0.9069,             0.67051,            0.029149,             0.01708,           0.0029472,            0.006238,            0.006238,            0.006238
                  40,            0.025332,            0.028787,           0.0018317,             0.92013,             0.88904,              0.9074,              0.6479,            0.029386,            0.017399,           0.0038727,            0.006139,            0.006139,            0.006139
                  41,            0.025487,            0.029979,           0.0020368,             0.90852,             0.87768,             0.90117,             0.66503,            0.027671,            0.016945,           0.0025322,             0.00604,             0.00604,             0.00604
                  42,            0.025265,             0.03013,           0.0018749,             0.89278,             0.88904,             0.92271,             0.68622,            0.026487,            0.016157,           0.0022171,            0.005941,            0.005941,            0.005941
                  43,            0.025195,            0.029683,           0.0017696,             0.89745,             0.88135,             0.90809,             0.65599,            0.027467,            0.017879,           0.0018787,            0.005842,            0.005842,            0.005842
                  44,            0.025029,            0.029271,            0.001724,             0.84375,             0.89154,             0.90244,             0.67428,             0.02545,            0.017302,           0.0031616,            0.005743,            0.005743,            0.005743
                  45,            0.025268,            0.029805,           0.0017467,             0.88842,             0.82374,             0.86708,             0.62549,            0.028121,            0.019127,           0.0041862,            0.005644,            0.005644,            0.005644
                  46,            0.024629,            0.029738,           0.0017065,             0.93468,             0.88347,             0.89683,             0.66939,            0.025108,            0.017986,           0.0030724,            0.005545,            0.005545,            0.005545
                  47,            0.023967,             0.02784,            0.001618,             0.90718,             0.89802,             0.91637,             0.69148,            0.024387,            0.016924,           0.0035545,            0.005446,            0.005446,            0.005446
                  48,            0.024027,            0.029713,           0.0020804,             0.88575,              0.8703,             0.90453,             0.68713,            0.025763,            0.018101,           0.0036423,            0.005347,            0.005347,            0.005347
                  49,            0.024418,            0.030179,           0.0019355,             0.89041,             0.87633,             0.88257,             0.64928,            0.025475,            0.019138,           0.0053902,            0.005248,            0.005248,            0.005248
                  50,             0.02317,            0.028336,           0.0018223,              0.8662,             0.90077,              0.9284,             0.69277,             0.02383,            0.017284,           0.0018181,            0.005149,            0.005149,            0.005149
                  51,            0.023259,            0.028702,           0.0017541,             0.88441,             0.88904,             0.88556,             0.67487,            0.025779,            0.019398,            0.003186,             0.00505,             0.00505,             0.00505
                  52,            0.023276,            0.028701,           0.0018187,              0.8843,             0.89549,             0.91685,             0.67387,            0.025648,            0.017864,           0.0033134,            0.004951,            0.004951,            0.004951
                  53,            0.022767,            0.027785,           0.0016463,             0.89156,              0.8845,             0.90206,             0.69711,            0.024218,            0.018181,           0.0021961,            0.004852,            0.004852,            0.004852
                  54,            0.023053,             0.02953,            0.001747,              0.8913,             0.82297,             0.87106,             0.65382,            0.026889,            0.019386,           0.0028095,            0.004753,            0.004753,            0.004753
                  55,             0.02284,            0.028953,           0.0014538,             0.88503,             0.85448,             0.88076,             0.64501,            0.027263,            0.018753,           0.0031479,            0.004654,            0.004654,            0.004654
                  56,            0.022262,            0.028999,           0.0016385,              0.9397,             0.86653,             0.89819,             0.65711,            0.024267,            0.018219,           0.0034203,            0.004555,            0.004555,            0.004555
                  57,            0.022228,            0.028269,           0.0014412,             0.94296,             0.88397,             0.91085,             0.67778,            0.026666,            0.017849,           0.0017761,            0.004456,            0.004456,            0.004456
                  58,            0.022017,            0.028456,           0.0016242,             0.91895,             0.88904,               0.898,             0.66642,            0.027016,            0.018375,           0.0024166,            0.004357,            0.004357,            0.004357
                  59,            0.021145,            0.027142,           0.0015131,             0.91173,              0.8463,             0.87476,             0.62873,            0.027812,            0.019028,            0.004039,            0.004258,            0.004258,            0.004258
                  60,            0.021728,             0.02851,           0.0014592,               0.929,             0.88616,             0.92871,             0.64904,            0.026339,            0.018442,           0.0018013,            0.004159,            0.004159,            0.004159
                  61,            0.021458,            0.028624,           0.0015179,             0.89108,             0.84435,              0.8813,             0.66222,            0.027039,            0.017675,           0.0017071,             0.00406,             0.00406,             0.00406
                  62,            0.021263,            0.028212,           0.0015805,             0.91905,             0.86343,             0.89004,             0.66879,            0.025744,            0.018015,           0.0021782,            0.003961,            0.003961,            0.003961
                  63,            0.020844,            0.027376,           0.0013855,             0.93304,             0.86282,             0.87298,             0.67306,            0.027172,            0.018108,           0.0035339,            0.003862,            0.003862,            0.003862
                  64,            0.020565,            0.027236,           0.0015404,             0.93884,             0.83716,             0.88118,             0.65406,            0.027003,            0.018429,           0.0025787,            0.003763,            0.003763,            0.003763
                  65,            0.021148,            0.029171,           0.0013852,             0.96861,             0.89521,             0.91801,             0.64795,             0.02712,             0.01894,           0.0022007,            0.003664,            0.003664,            0.003664
                  66,             0.02046,            0.026775,           0.0014741,             0.89491,             0.84109,             0.86057,             0.66262,            0.027479,            0.018906,           0.0024132,            0.003565,            0.003565,            0.003565
                  67,            0.020452,            0.028079,           0.0014161,             0.93806,             0.85404,             0.87993,             0.65726,            0.027723,            0.018604,           0.0029076,            0.003466,            0.003466,            0.003466
                  68,            0.019835,            0.026981,           0.0013057,             0.89624,             0.87333,             0.87545,             0.64972,            0.028593,            0.019203,           0.0025909,            0.003367,            0.003367,            0.003367
                  69,            0.020132,            0.026546,           0.0014328,             0.88583,             0.86378,             0.88137,              0.6738,            0.027694,            0.019098,           0.0024071,            0.003268,            0.003268,            0.003268
                  70,             0.01918,            0.027257,           0.0012776,             0.87916,              0.8582,             0.87704,             0.67725,            0.026331,            0.018236,           0.0014633,            0.003169,            0.003169,            0.003169
                  71,            0.019544,            0.026805,           0.0013148,             0.91699,             0.86859,              0.9196,             0.67842,            0.025446,            0.017748,           0.0024895,             0.00307,             0.00307,             0.00307
                  72,            0.019166,            0.027247,           0.0013243,             0.88649,             0.87135,             0.87645,             0.64868,            0.026982,            0.018818,           0.0022884,            0.002971,            0.002971,            0.002971
                  73,            0.018262,            0.026467,           0.0012044,             0.90933,             0.89305,             0.90749,             0.66409,            0.026608,            0.017822,           0.0027527,            0.002872,            0.002872,            0.002872
                  74,            0.018753,            0.026405,           0.0013286,             0.91663,             0.88236,             0.90438,             0.67364,            0.026748,             0.01804,           0.0029781,            0.002773,            0.002773,            0.002773
                  75,            0.018027,            0.025314,           0.0012981,             0.89417,             0.87274,             0.88605,             0.65925,            0.026673,            0.018322,           0.0031849,            0.002674,            0.002674,            0.002674
                  76,            0.018067,            0.025995,           0.0012682,             0.95224,             0.87852,             0.91246,             0.67615,            0.025842,            0.017338,           0.0027679,            0.002575,            0.002575,            0.002575
                  77,            0.017929,            0.025429,           0.0012683,             0.91765,             0.87214,             0.91435,              0.6994,            0.025797,            0.017368,           0.0021049,            0.002476,            0.002476,            0.002476
                  78,            0.017679,            0.025979,           0.0012735,             0.91899,             0.88633,              0.9016,             0.65778,            0.027007,             0.01841,           0.0020813,            0.002377,            0.002377,            0.002377
                  79,             0.01813,            0.025782,           0.0013142,             0.90611,             0.87458,             0.89987,             0.65146,            0.026671,            0.019016,           0.0018826,            0.002278,            0.002278,            0.002278
                  80,            0.017947,            0.026473,           0.0012184,             0.90556,             0.87722,             0.90635,             0.68721,            0.025268,            0.018023,            0.001833,            0.002179,            0.002179,            0.002179
                  81,            0.017568,            0.024364,           0.0012142,             0.90252,             0.87483,             0.90859,             0.66314,            0.026639,            0.018627,           0.0014721,             0.00208,             0.00208,             0.00208
                  82,            0.017361,            0.025624,           0.0012942,             0.88967,             0.86752,             0.87335,             0.65689,            0.026689,            0.018448,           0.0015877,            0.001981,            0.001981,            0.001981
                  83,            0.017237,            0.025944,           0.0011355,             0.89705,             0.88904,             0.89232,             0.66007,            0.026272,            0.018066,           0.0015783,            0.001882,            0.001882,            0.001882
                  84,            0.017133,            0.025189,           0.0011698,             0.87942,             0.86211,             0.86885,             0.67637,            0.027209,            0.018002,           0.0023804,            0.001783,            0.001783,            0.001783
                  85,            0.016998,            0.024895,           0.0012172,             0.87357,              0.8409,             0.84247,             0.64611,            0.027944,            0.018353,           0.0021183,            0.001684,            0.001684,            0.001684
                  86,            0.017102,            0.026708,           0.0012434,             0.87367,             0.85106,             0.86451,             0.65992,            0.027438,            0.018559,           0.0017288,            0.001585,            0.001585,            0.001585
                  87,            0.016061,            0.024481,           0.0011026,              0.9089,             0.88718,             0.90458,             0.68572,            0.026164,            0.017319,           0.0014435,            0.001486,            0.001486,            0.001486
                  88,            0.016214,            0.023777,           0.0010846,             0.90743,             0.88204,             0.90158,             0.66486,            0.027245,            0.017838,           0.0012592,            0.001387,            0.001387,            0.001387
                  89,            0.015815,            0.024338,           0.0011118,             0.86729,             0.85762,             0.87155,             0.66188,            0.027506,            0.018326,            0.001614,            0.001288,            0.001288,            0.001288
                  90,            0.016033,            0.024482,           0.0010952,             0.91927,             0.84152,             0.86593,             0.65774,            0.027524,            0.018921,           0.0014618,            0.001189,            0.001189,            0.001189
                  91,            0.015805,            0.024505,           0.0011496,             0.92558,             0.84702,             0.87794,             0.65952,            0.026783,            0.018612,            0.001664,             0.00109,             0.00109,             0.00109
                  92,            0.015808,             0.02465,           0.0011271,             0.89543,             0.82991,             0.85727,              0.6575,             0.02712,            0.019222,           0.0020058,            0.000991,            0.000991,            0.000991
                  93,            0.015812,            0.023729,           0.0010303,             0.89775,             0.83585,             0.87776,             0.66419,            0.026618,            0.018677,           0.0017685,            0.000892,            0.000892,            0.000892
                  94,            0.015757,            0.024273,            0.001035,             0.92529,             0.82625,             0.89311,             0.67241,            0.026999,            0.018696,           0.0016914,            0.000793,            0.000793,            0.000793
                  95,            0.015701,            0.023441,           0.0011208,             0.90763,             0.82177,              0.8541,              0.6474,            0.028157,            0.019299,           0.0020134,            0.000694,            0.000694,            0.000694
                  96,            0.015169,            0.023918,            0.001053,              0.9069,             0.81665,             0.87056,             0.66602,            0.027531,            0.019241,           0.0019325,            0.000595,            0.000595,            0.000595
                  97,             0.01488,            0.023845,           0.0010784,             0.90455,             0.81902,             0.85764,             0.67082,            0.026837,            0.019142,           0.0016552,            0.000496,            0.000496,            0.000496
                  98,            0.015205,            0.023731,          0.00099078,             0.89701,             0.83091,             0.87167,             0.66273,             0.02693,            0.019073,           0.0016468,            0.000397,            0.000397,            0.000397
                  99,            0.015043,            0.023553,           0.0010653,             0.87207,             0.85381,             0.87283,             0.65443,            0.026807,            0.019054,           0.0019012,            0.000298,            0.000298,            0.000298
